2,2,8,32,1182468,1182468,0,1460957310,CCSynch (Ban),Spin Parker
3,3,8,32,1176993,1176993,0,1558646550,CCSynch (Ban),Spin Parker
4,4,8,32,1165220,1165220,0,1561406010,CCSynch (Ban),Spin Parker
5,5,8,32,1163585,1163585,0,1554993930,CCSynch (Ban),Spin Parker
6,6,8,32,1206976,1206976,0,1458916710,CCSynch (Ban),Spin Parker
7,7,8,32,1231164,1231164,0,1463867700,CCSynch (Ban),Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,8,32,470942,470942,0,1490305800,CCSynch (Ban),BlockParker
1,1,8,32,490456,490456,0,1502901330,CCSynch (Ban),BlockParker
2,2,8,32,475303,475303,0,1496896200,CCSynch (Ban),BlockParker
3,3,8,32,477348,477348,0,1503755700,CCSynch (Ban),BlockParker
4,4,8,32,485012,485012,0,1482330780,CCSynch (Ban),BlockParker
5,5,8,32,481847,481847,0,1483521120,CCSynch (Ban),BlockParker
6,6,8,32,483907,483907,0,1494487560,CCSynch (Ban),BlockParker
7,7,8,32,474038,474038,0,1492860210,CCSynch (Ban),BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,8,32,8708196,8708196,0,,Mutex,
1,1,8,32,9465099,9465099,0,,Mutex,
2,2,8,32,9366658,9366658,0,,Mutex,
3,3,8,32,9150553,9150553,0,,Mutex,
4,4,8,32,7180501,7180501,0,,Mutex,
5,5,8,32,6678645,6678645,0,,Mutex,
6,6,8,32,6981515,6981515,0,,Mutex,
7,7,8,32,7163796,7163796,0,,Mutex,
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,8,32,15008349,15008349,0,,SpinLock,
1,1,8,32,17404964,17404964,0,,SpinLock,
2,2,8,32,20236791,20236791,0,,SpinLock,
3,3,8,32,12227677,12227677,0,,SpinLock,
4,4,8,32,15180156,15180156,0,,SpinLock,
5,5,8,32,22924221,22924221,0,,SpinLock,
6,6,8,32,9370776,9370776,0,,SpinLock,
7,7,8,32,26936502,26936502,0,,SpinLock,
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,8,32,20243475,20243475,0,,U-SCL,
1,1,8,32,1190721,1190721,0,,U-SCL,
2,2,8,32,19488806,19488806,0,,U-SCL,
3,3,8,32,1301731,1301731,0,,U-SCL,
4,4,8,32,36272273,36272273,0,,U-SCL,
5,5,8,32,1247264,1247264,0,,U-SCL,
6,6,8,32,17656136,17656136,0,,U-SCL,
7,7,8,32,675750,675750,0,,U-SCL,
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,8,32,2111576,2111576,0,,RCL,Spin Parker
1,1,8,32,2113909,2113909,0,,RCL,Spin Parker
2,2,8,32,2123157,2123157,0,,RCL,Spin Parker
3,3,8,32,2133418,2133418,0,,RCL,Spin Parker
4,4,8,32,2133291,2133291,0,,RCL,Spin Parker
5,5,8,32,2127786,2127786,0,,RCL,Spin Parker
6,6,8,32,2136959,2136959,0,,RCL,Spin Parker
7,7,8,32,2132989,2132989,0,,RCL,Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,8,32,533993,533993,0,,RCL,BlockParker
1,1,8,32,533991,533991,0,,RCL,BlockParker
2,2,8,32,533989,533989,0,,RCL,BlockParker
3,3,8,32,533984,533984,0,,RCL,BlockParker
4,4,8,32,533974,533974,0,,RCL,BlockParker
5,5,8,32,533960,533960,0,,RCL,BlockParker
6,6,8,32,533977,533977,0,,RCL,BlockParker
7,7,8,32,533968,533968,0,,RCL,BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,16,32,271773,271773,0,530714340,Flat Combining (SkipList),Spin Parker
1,1,16,32,268600,268600,0,1323395190,Flat Combining (SkipList),Spin Parker
2,2,16,32,267992,267992,0,,Flat Combining (SkipList),Spin Parker
3,3,16,32,265604,265604,0,532657680,Flat Combining (SkipList),Spin Parker
4,4,16,32,277243,277243,0,531234870,Flat Combining (SkipList),Spin Parker
5,5,16,32,275867,275867,0,1328874660,Flat Combining (SkipList),Spin Parker
6,6,16,32,270613,270613,0,1325283720,Flat Combining (SkipList),Spin Parker
7,7,16,32,275092,275092,0,800270700,Flat Combining (SkipList),Spin Parker
8,8,16,32,287135,287135,0,1063391970,Flat Combining (SkipList),Spin Parker
