Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
7,7,8,32,98787713,76661,2308,6941001990,Flat Combining Fair With Combiner Slice,Spin Parker
0,0,8,32,161103415,198079,1990,1837856760,Flat Combining Fair With Combiner Slice,BlockParker
1,1,8,32,175525349,71714,2154,4013634930,Flat Combining Fair With Combiner Slice,BlockParker
2,2,8,32,167621779,205302,2062,1908234000,Flat Combining Fair With Combiner Slice,BlockParker
3,3,8,32,175854318,71660,2153,17106629070,Flat Combining Fair With Combiner Slice,BlockParker
4,4,8,32,129557645,160108,1608,12199508910,Flat Combining Fair With Combiner Slice,BlockParker
5,5,8,32,175695737,71716,2155,5767700760,Flat Combining Fair With Combiner Slice,BlockParker
6,6,8,32,135226412,166585,1673,5331203010,Flat Combining Fair With Combiner Slice,BlockParker
7,7,8,32,175681656,71719,2155,3988016970,Flat Combining Fair With Combiner Slice,BlockParker
0,0,8,32,116976594,142779,1434,,CCSynch,Spin Parker
1,1,8,32,353456193,142771,4289,,CCSynch,Spin Parker
2,2,8,32,116939670,142782,1434,19937731950,CCSynch,Spin Parker
3,3,8,32,275101653,111044,3336,19940547120,CCSynch,Spin Parker
4,4,8,32,90311116,111050,1115,30180,CCSynch,Spin Parker
5,5,8,32,274579768,111043,3336,,CCSynch,Spin Parker
6,6,8,32,116804006,142780,1434,19937712000,CCSynch,Spin Parker
7,7,8,32,275100370,111045,3336,,CCSynch,Spin Parker
0,0,8,32,103112633,125515,1261,,CCSynch,BlockParker
1,1,8,32,324407001,130777,3929,19932661260,CCSynch,BlockParker
2,2,8,32,83420468,101715,1022,,CCSynch,BlockParker
3,3,8,32,252428108,101716,3056,,CCSynch,BlockParker
4,4,8,32,107471605,130780,1313,19929403080,CCSynch,BlockParker
5,5,8,32,324591276,130779,3929,,CCSynch,BlockParker
6,6,8,32,83484798,101716,1022,19931101110,CCSynch,BlockParker
7,7,8,32,265292533,106979,3214,,CCSynch,BlockParker
0,0,8,32,208089438,256454,2576,6649195260,CCSynch (Ban),Spin Parker
1,1,8,32,194030151,78559,2360,6643338270,CCSynch (Ban),Spin Parker
2,2,8,32,199048606,244632,2457,6660339000,CCSynch (Ban),Spin Parker
3,3,8,32,193939666,78559,2360,6631167900,CCSynch (Ban),Spin Parker
4,4,8,32,205434286,252581,2537,6645665460,CCSynch (Ban),Spin Parker
5,5,8,32,194086160,78559,2360,6638860830,CCSynch (Ban),Spin Parker
6,6,8,32,205229629,252887,2540,6640309260,CCSynch (Ban),Spin Parker
7,7,8,32,194183664,78559,2360,6647790540,CCSynch (Ban),Spin Parker
0,0,8,32,188219851,231484,2325,6592535640,CCSynch (Ban),BlockParker
1,1,8,32,191737936,77669,2333,6753524730,CCSynch (Ban),BlockParker
2,2,8,32,188506388,231805,2328,6493743660,CCSynch (Ban),BlockParker
3,3,8,32,191584653,77668,2333,6605465010,CCSynch (Ban),BlockParker
4,4,8,32,187717222,230975,2320,6612358380,CCSynch (Ban),BlockParker
5,5,8,32,191734376,77669,2333,6908498220,CCSynch (Ban),BlockParker
6,6,8,32,188846154,232847,2339,6736623960,CCSynch (Ban),BlockParker
7,7,8,32,191450090,77668,2333,6563662110,CCSynch (Ban),BlockParker
0,0,8,32,357214780,506298,5085,,Mutex,
1,1,8,32,158940244,67175,2018,,Mutex,
2,2,8,32,520707712,738323,7415,,Mutex,
3,3,8,32,197605443,83516,2509,,Mutex,
4,4,8,32,828,1,0,,Mutex,
5,5,8,32,83246718,35304,1061,,Mutex,
6,6,8,32,33284551,47664,479,,Mutex,
7,7,8,32,2488,1,0,,Mutex,
0,0,8,32,2281695,13276,134,,SpinLock,
1,1,8,32,188488721,361900,10903,,SpinLock,
2,2,8,32,3941563,22847,230,,SpinLock,
3,3,8,32,149655270,287280,8657,,SpinLock,
4,4,8,32,113621,670,7,,SpinLock,
5,5,8,32,346643,721,22,,SpinLock,
6,6,8,32,136577,840,9,,SpinLock,
7,7,8,32,401633,835,25,,SpinLock,
0,0,8,32,202403808,247031,2481,,U-SCL,
1,1,8,32,205032297,83045,2495,,U-SCL,
2,2,8,32,201721585,246981,2481,,U-SCL,
3,3,8,32,205568715,83060,2495,,U-SCL,
4,4,8,32,202650161,247064,2482,,U-SCL,
5,5,8,32,205095653,83040,2495,,U-SCL,
6,6,8,32,201625534,247025,2481,,U-SCL,
7,7,8,32,205735011,83069,2496,,U-SCL,
0,0,8,32,100119882,123306,1238,,RCL,Spin Parker
1,1,8,32,305095206,123306,3704,,RCL,Spin Parker
2,2,8,32,100160406,123308,1238,,RCL,Spin Parker
3,3,8,32,305067591,123308,3704,,RCL,Spin Parker
4,4,8,32,100125026,123308,1238,,RCL,Spin Parker
5,5,8,32,305119411,123307,3704,,RCL,Spin Parker
6,6,8,32,100207608,123307,1238,,RCL,Spin Parker
7,7,8,32,305221738,123307,3704,,RCL,Spin Parker
